2021-05-24;450942;33343.8;25296.2
2021-05-25;475739;43005.7;11392.4
2021-05-26;467628;57241.9;24317.8
2021-05-27;469830;32052.3;21379.9
2021-05-28;470324;15587.3;17764
2021-05-29;417086;27484.3;18623.3
2021-05-30;367466;34173.1;19845.9
2021-05-31;451802;11703.5;26450.4
2021-06-01;464593;14720.8;21448.2
2021-06-02;461508;22460.3;27138.9
2021-06-03;369081;16033.4;30277.9
2021-06-04;410744;12601.7;24138.6
2021-06-05;394870;16301.5;25112.5
2021-06-06;361506;10224.6;30134.9
2021-06-07;463694;9829.11;31544.5
2021-06-08;481727;14690.7;30590.8
2021-06-09;482522;18166;29835.5
2021-06-10;479759;11953.1;27285.2
2021-06-11;479787;6903.48;25589
2021-06-12;422672;43414.9;17578.2
2021-06-13;360378;96386;19469.2
2021-06-14;457981;16581.5;30229.6
2021-06-15;477389;18642.8;25863.5
2021-06-16;483143;9103.58;30568.4
2021-06-17;488932;29578.5;31061.6
2021-06-18;495561;34382;30585.8
2021-06-19;444130;29704.2;29904
2021-06-20;391448;41603.4;29105.5
2021-06-21;492793;36346.3;26388.4
2021-06-22;507835;22053;19635.9
2021-06-23;501796;7802.57;17065.9
2021-06-24;502865;8354.87;18842.5
2021-06-25;489663;8456.97;14321.4
2021-06-26;430146;10322.6;20616.5
2021-06-27;387842;7383.34;27738
2021-06-28;478238;4569.47;28167.3
2021-06-29;497495;9014.29;26595.4
2021-06-30;490905;35466.3;21051.8
2021-07-01;487584;38494.8;20484.7
2021-07-02;483631;20200.7;12975.8
2021-07-03;426071;23462.2;16237.6
2021-07-04;380383;5146.62;21557.3
2021-07-05;473188;6790.36;21087.2
2021-07-06;495755;13214.7;29271.6
2021-07-07;501179;28776.5;21872.7
2021-07-08;500795;13495.2;18737
2021-07-09;499149;23972.7;19688.3
2021-07-10;429118;33300.7;22697.7
2021-07-11;385856;14819;26852.1
2021-07-12;483029;20223.8;22826.7
2021-07-13;501058;18784.3;27199.3
2021-07-14;510238;18972.8;23032.1
2021-07-15;508330;12931.1;21195.1
2021-07-16;508281;8783.62;21850.3
2021-07-17;446462;17511.3;21395
2021-07-18;386393;36698.9;22594
2021-07-19;470855;22018.1;22577.3
2021-07-20;480394;18869.3;20969.4
2021-07-21;480818;26975.7;22394.7
2021-07-22;484775;8435.33;20023.6
2021-07-23;483726;5326.23;21794
2021-07-24;429428;16313;24327.3
2021-07-25;383922;31720.2;19793
2021-07-26;474058;22334.5;20839.9
2021-07-27;492283;15409;23161.4
2021-07-28;495610;13850.8;23456.6
2021-07-29;478558;41786.7;24651.7
2021-07-30;471815;50753.3;28396.6
2021-07-31;422670;41844.4;21090.4
2021-08-01;377846;21860.1;13431
2021-08-02;444295;48341.7;18041.4
2021-08-03;460998;20094.7;22308.6
2021-08-04;469150;3809.63;16371.1
2021-08-05;467234;21780;12499.9
2021-08-06;457788;48013.2;9611.23
2021-08-07;405978;23749;25530.2
2021-08-08;366326;38931.2;18548.9
2021-08-09;449737;19976.6;24691.4
2021-08-10;470436;13680.3;21591.4
2021-08-11;469674;24993.3;23959
